UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  6 05:12 ?        00:00:05 /sbin/init
root           2       0  0 05:12 ?        00:00:00 [kthreadd]
root           3       2  0 05:12 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 05:12 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 05:12 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 05:12 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2  0 05:12 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 05:12 ?        00:00:00 [kworker/R-netns]
root           9       2  0 05:12 ?        00:00:00 [kworker/0:0-mm_percpu_wq]
root          10       2  0 05:12 ?        00:00:00 [kworker/0:0H-events_highpri]
root          11       2  0 05:12 ?        00:00:00 [kworker/0:1-device_link_wq]
root          12       2  0 05:12 ?        00:00:00 [kworker/u8:0-events_power_efficient]
root          13       2  0 05:12 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 05:12 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 05:12 ?        00:00:00 [rcu_preempt]
root          16       2  0 05:12 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root          17       2  0 05:12 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          18       2  0 05:12 ?        00:00:00 [migration/0]
root          19       2  0 05:12 ?        00:00:00 [cpuhp/0]
root          20       2  0 05:12 ?        00:00:00 [cpuhp/1]
root          21       2  0 05:12 ?        00:00:00 [migration/1]
root          22       2  0 05:12 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 05:12 ?        00:00:00 [kworker/1:0-cgroup_free]
root          24       2  0 05:12 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 05:12 ?        00:00:00 [kdevtmpfs]
root          26       2  0 05:12 ?        00:00:00 [kworker/R-inet_frag_wq]
root          27       2  0 05:12 ?        00:00:00 [rcu_tasks_kthread]
root          28       2  0 05:12 ?        00:00:00 [rcu_tasks_trace_kthread]
root          29       2  0 05:12 ?        00:00:00 [kauditd]
root          30       2  0 05:12 ?        00:00:00 [oom_reaper]
root          31       2  0 05:12 ?        00:00:00 [kworker/R-writeback]
root          32       2  0 05:12 ?        00:00:00 [kcompactd0]
root          33       2  0 05:12 ?        00:00:00 [ksmd]
root          34       2  0 05:12 ?        00:00:00 [khugepaged]
root          35       2  0 05:12 ?        00:00:00 [kworker/R-kblockd]
root          36       2  0 05:12 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root          37       2  0 05:12 ?        00:00:00 [kworker/R-kintegrityd]
root          38       2  0 05:12 ?        00:00:00 [kworker/u8:1-ext4-rsv-conversion]
root          39       2  0 05:12 ?        00:00:00 [kworker/R-tpm_dev_wq]
root          40       2  0 05:12 ?        00:00:00 [kworker/u8:2-flush-179:0]
root          41       2  0 05:12 ?        00:00:00 [kworker/R-ata_sff]
root          42       2  0 05:12 ?        00:00:00 [kworker/R-edac-poller]
root          43       2  0 05:12 ?        00:00:00 [kworker/R-devfreq_wq]
root          44       2  0 05:12 ?        00:00:00 [watchdogd]
