Filesystem      Size  Used Avail Use% Mounted on
/dev/root       8.2G  6.5G  1.3G  84% /
devtmpfs        777M     0  777M   0% /dev
tmpfs           970M     0  970M   0% /dev/shm
tmpfs           388M   30M  359M   8% /run
tmpfs           970M  204M  766M  22% /tmp
tmpfs           1.0M     0  1.0M   0% /run/credentials/systemd-journald.service
tmpfs           970M  9.0M  961M   1% /var/volatile
tmpfs           1.0M     0  1.0M   0% /run/credentials/systemd-resolved.service
tmpfs           1.0M     0  1.0M   0% /run/credentials/systemd-networkd.service
/dev/mmcblk0p1  256M   36M  221M  14% /run/media/boot-mmcblk0p1
/dev/mmcblk1p1  114G   13G   96G  12% /mnt/ems-logs
tmpfs           1.0M     0  1.0M   0% /run/credentials/getty@tty1.service
tmpfs           1.0M     0  1.0M   0% /run/credentials/serial-getty@ttyLP0.service
tmpfs           194M  8.0K  194M   1% /run/user/0
