event_id,source_id,bess_id,dominant_state,start_utc,end_utc,duration_sec,row_count,max_score,top_categories,top_reason,max_pcs_phase_voltage_imbalance,max_pcs_phase_current_imbalance,max_pcs_dc_current_vs_bms_current_delta,max_pcs_dc_voltage_vs_bms_voltage_delta,max_bms_cell_voltage_spread,max_bms_temperature_spread,max_pcs_fault_flag_count,max_bms_fault_flag_count
1,external_ems_1,bess_1,warning,2026-08-10T13:31:31.053372+00:00,2026-08-10T13:31:33.053572+00:00,2.0,3,0.6458,data_quality,Telemetry quality is not good,0.6,0.8,0.0,0.0,1.0,1.7,0.0,0.0
2,external_ems_1,bess_1,warning,2026-08-10T17:24:54.285934+00:00,2026-08-10T17:24:54.285934+00:00,0.0,1,0.3819,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.0; PCS DC current and BMS current mismatch: 21.8,0.6,24.0,21.8,1.2,2.0,1.6,0.0,0.0
3,external_ems_1,bess_1,warning,2026-08-10T18:48:52.285339+00:00,2026-08-10T18:48:52.285339+00:00,0.0,1,0.4751,pcs_phase_current_imbalance,PCS phase current imbalance high: 28.0,0.2,28.0,0.5,0.6,2.0,1.5,0.0,0.0
4,external_ems_1,bess_1,warning,2026-08-10T19:22:58.295782+00:00,2026-08-10T19:22:58.295782+00:00,0.0,1,0.392,pcs_phase_current_imbalance,PCS phase current imbalance high: 24.5,1.0,24.5,5.6,0.3,3.0,1.6,0.0,0.0
5,external_ems_1,bess_1,warning,2026-08-10T21:24:37.296242+00:00,2026-08-10T21:24:37.296242+00:00,0.0,1,0.3682,pcs_phase_current_imbalance,PCS phase current imbalance high: 23.5,1.1,23.5,18.0,0.2,3.0,1.5,0.0,0.0
6,external_ems_2,bess_2,warning,2026-08-10T13:31:31.053372+00:00,2026-08-10T13:31:35.055322+00:00,4.002,5,0.6458,data_quality,Telemetry quality is not good,0.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0
7,external_ems_1,bess_1,warning,2026-08-11T20:42:59.618670+00:00,2026-08-11T20:42:59.618670+00:00,0.0,1,0.3801,pcs_phase_current_imbalance,PCS phase current imbalance high: 24.0,0.6,24.0,17.5,1.3,1.0,1.6,0.0,0.0
8,external_ems_2,bess_2,warning,2026-08-12T05:34:19.618577+00:00,2026-08-12T05:34:24.619207+00:00,5.001,6,0.4323,pcs_phase_current_imbalance,PCS phase current imbalance high: 26.2,1.0,26.2,13.3,1.3,2.0,1.0,0.0,0.0
9,external_ems_2,bess_2,warning,2026-08-12T06:28:53.630006+00:00,2026-08-12T06:28:54.618693+00:00,0.989,2,0.3681,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 8.6; PCS DC current and BMS current mismatch: 42.9,1.1,8.6,42.9,3.8,2.0,1.1,0.0,0.0
10,external_ems_1,bess_1,warning,2026-08-12T06:28:37.618580+00:00,2026-08-12T06:29:48.619261+00:00,71.001,27,0.6579,pcs_bms_current_mismatch;pcs_phase_current_imbalance;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 24.7,1.2,25.3,75.8,7.4,4.0,2.0,0.0,0.0
11,external_ems_1,bess_1,warning,2026-08-12T21:58:52.618582+00:00,2026-08-12T21:58:52.618582+00:00,0.0,1,0.3611,pcs_phase_current_imbalance,PCS phase current imbalance high: 23.2,0.2,23.2,0.2,0.2,1.0,1.5,0.0,0.0
12,external_ems_2,bess_2,warning,2026-08-12T06:29:43.618944+00:00,2026-08-12T06:29:49.618575+00:00,6.0,7,0.6947,pcs_phase_current_imbalance;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 23.9; PCS DC voltage and BMS voltage mismatch: 9.2; PCS DC current and BMS current mismatch: 60.2,1.0,23.9,60.2,9.2,2.0,1.2,0.0,0.0
13,external_ems_2,bess_2,warning,2026-08-13T08:08:58.630124+00:00,2026-08-13T08:09:37.629401+00:00,38.999,20,0.6566,pcs_phase_current_imbalance;pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 25.1; PCS DC current and BMS current mismatch: 54.0,1.6,25.1,60.3,7.2,3.0,1.1,0.0,0.0
14,external_ems_1,bess_1,warning,2026-08-13T08:08:10.629190+00:00,2026-08-13T08:09:38.618612+00:00,87.989,35,0.6414,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 23.0,1.6,27.2,64.2,2.7,5.0,1.9,0.0,0.0
15,external_ems_2,bess_2,warning,2026-08-13T08:11:39.618704+00:00,2026-08-13T08:11:42.628817+00:00,3.01,4,0.6549,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 16.8; PCS DC current and BMS current mismatch: 65.1,1.2,16.8,65.1,4.1,1.0,1.2,0.0,0.0
16,external_ems_1,bess_1,warning,2026-08-13T08:11:40.628815+00:00,2026-08-13T08:11:41.618560+00:00,0.99,2,0.6428,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.2; PCS DC current and BMS current mismatch: 72.1,0.6,1.8,72.1,5.2,2.0,1.8,0.0,0.0
17,external_ems_1,bess_1,warning,2026-08-13T08:13:43.618675+00:00,2026-08-13T08:13:46.618577+00:00,3.0,4,0.3745,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 20.1; PCS DC current and BMS current mismatch: 42.2,0.5,20.1,42.2,1.8,1.0,1.9,0.0,0.0
18,external_ems_2,bess_2,warning,2026-08-13T08:13:37.618756+00:00,2026-08-13T08:13:45.618925+00:00,8.0,4,0.6233,pcs_bms_current_mismatch;pcs_phase_current_imbalance;pcs_bms_voltage_mismatch,PCS phase current imbalance high: 9.2; PCS DC current and BMS current mismatch: 44.1,0.6,9.2,58.7,5.4,2.0,1.3,0.0,0.0
19,external_ems_2,bess_2,warning,2026-08-13T08:16:03.629975+00:00,2026-08-13T08:16:04.618626+00:00,0.989,2,0.3535,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 12.7; PCS DC current and BMS current mismatch: 41.6,0.8,12.7,41.6,1.2,1.0,1.2,0.0,0.0
20,external_ems_2,bess_2,warning,2026-08-13T08:16:34.629132+00:00,2026-08-13T08:16:35.618799+00:00,0.99,2,0.5628,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 55.1,0.4,5.4,55.1,1.3,2.0,1.1,0.0,0.0
21,external_ems_1,bess_1,warning,2026-08-13T08:15:41.618599+00:00,2026-08-13T08:16:05.618598+00:00,24.0,8,0.6414,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 63.4,1.0,4.4,67.5,2.1,3.0,1.9,0.0,0.0
22,external_ems_2,bess_2,warning,2026-08-13T08:18:15.629687+00:00,2026-08-13T08:18:20.618574+00:00,4.989,6,0.3874,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 8.6; PCS DC current and BMS current mismatch: 44.1,1.3,8.6,44.1,0.8,2.0,1.1,0.0,0.0
23,external_ems_1,bess_1,warning,2026-08-13T08:20:50.618570+00:00,2026-08-13T08:20:55.618584+00:00,5.0,6,0.6526,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 50.6; PCS DC current and BMS current mismatch: 30.8,0.4,50.6,30.8,1.4,3.0,1.9,0.0,0.0
24,external_ems_1,bess_1,warning,2026-08-13T08:21:54.629387+00:00,2026-08-13T08:21:59.618598+00:00,4.989,6,0.3516,pcs_phase_current_imbalance,PCS phase current imbalance high: 22.8,1.0,22.8,11.2,0.2,3.0,1.9,0.0,0.0
25,external_ems_2,bess_2,warning,2026-08-13T08:21:50.629616+00:00,2026-08-13T08:21:51.618585+00:00,0.989,2,0.392,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 12.7; PCS DC current and BMS current mismatch: 44.0,1.8,12.7,44.0,2.7,2.0,1.1,0.0,0.0
26,external_ems_2,bess_2,warning,2026-08-13T08:24:10.619172+00:00,2026-08-13T08:24:21.619112+00:00,11.0,10,0.4142,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.3,0.8,24.3,45.6,2.9,2.0,1.1,0.0,0.0
27,external_ems_1,bess_1,warning,2026-08-13T08:23:16.628928+00:00,2026-08-13T08:24:50.618570+00:00,93.99,41,0.6241,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 25.3,1.4,26.6,58.3,3.1,4.0,2.0,0.0,0.0
28,external_ems_2,bess_2,warning,2026-08-13T08:25:40.629251+00:00,2026-08-13T08:25:44.628888+00:00,4.0,5,0.5917,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 56.9,1.3,6.6,56.9,1.9,2.0,1.2,0.0,0.0
29,external_ems_1,bess_1,warning,2026-08-13T08:25:48.629427+00:00,2026-08-13T08:25:49.619522+00:00,0.99,2,0.6173,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 58.5,1.1,7.0,58.5,2.6,3.0,1.9,0.0,0.0
30,external_ems_1,bess_1,warning,2026-08-13T08:26:38.618571+00:00,2026-08-13T08:26:44.618621+00:00,6.0,7,0.4143,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 24.1; PCS DC current and BMS current mismatch: 22.7,0.9,24.1,44.3,0.8,4.0,1.9,0.0,0.0
31,external_ems_2,bess_2,warning,2026-08-13T08:26:29.618579+00:00,2026-08-13T08:26:34.618633+00:00,5.0,6,0.6414,pcs_phase_current_imbalance,PCS phase current imbalance high: 37.8,1.1,37.8,12.3,0.8,2.0,1.3,0.0,0.0
32,external_ems_1,bess_1,warning,2026-08-13T08:27:51.619366+00:00,2026-08-13T08:27:54.618612+00:00,2.999,4,0.4071,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 10.0; PCS DC current and BMS current mismatch: 45.2,0.6,10.0,45.2,1.1,3.0,1.9,0.0,0.0
33,external_ems_1,bess_1,warning,2026-08-13T08:46:47.629695+00:00,2026-08-13T08:46:47.629695+00:00,0.0,1,0.468,pcs_phase_current_imbalance,PCS phase current imbalance high: 27.7,0.7,27.7,9.4,1.0,2.0,2.2,0.0,0.0
34,external_ems_1,bess_1,warning,2026-08-13T15:25:41.618942+00:00,2026-08-13T15:25:41.618942+00:00,0.0,1,0.3753,pcs_phase_current_imbalance,PCS phase current imbalance high: 23.8,0.6,23.8,18.6,1.0,1.0,1.5,0.0,0.0
35,external_ems_2,bess_2,warning,2026-08-13T08:28:44.618581+00:00,2026-08-13T08:28:47.619287+00:00,3.001,4,0.3935,pcs_phase_current_imbalance;pcs_bms_current_mismatch,PCS phase current imbalance high: 10.5; PCS DC current and BMS current mismatch: 44.3,1.4,10.5,44.3,2.1,2.0,1.3,0.0,0.0
36,external_ems_1,bess_1,warning,2026-08-14T04:00:24.618580+00:00,2026-08-14T04:00:33.618581+00:00,9.0,8,0.3784,pcs_bms_current_mismatch;pcs_phase_current_imbalance,PCS phase current imbalance high: 22.7; PCS DC current and BMS current mismatch: 36.9,0.8,22.7,43.6,3.6,2.0,1.6,0.0,0.0
